ID_Sample	TaxID	Refseq	Counts	name	Species	Genus	Family	Order	Class	Phylum	Kingdom	Domain	ID	ExperimentalGroup	BodyWeight.g	BALFneutrophils..	BALFneutrophils.abs	CD4.IL.17..	CD11b.Ly6G.LFA1..	CD4.LFA1.RORgT..	Syndecan1.ngml	HeparanSulfate1.pgml	NumberReads	RelativeAbundance	FreqAlignment
ID1	1624	NR_115884.1	4	Ligilactobacillus salivarius	Ligilactobacillus salivarius	Ligilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Bacillota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.177698800533096	81.8545454545455
ID1	29353	NR_026099.2	1	Acetivibrio aldrichii	Acetivibrio aldrichii	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.0444247001332741	81.8545454545455
ID1	29370	NR_026409.1	5	Lacrimispora sphenoides	Lacrimispora sphenoides	Lacrimispora	Lachnospiraceae	Eubacteriales	Clostridia	Bacillota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.22212350066637	81.8545454545455
ID1	29375	NR_037068.1	4	Lacrimispora xylanolytica	Lacrimispora xylanolytica	Lacrimispora	Lachnospiraceae	Eubacteriales	Clostridia	Bacillota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.177698800533096	81.8545454545455
ID1	35830	NR_025917.1	1	Acetivibrio cellulolyticus	Acetivibrio cellulolyticus	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.0444247001332741	81.8545454545455
ID1	35833	NR_176800.1	1	Bilophila wadsworthia	Bilophila wadsworthia	Bilophila	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Thermodesulfobacteriota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.0444247001332741	81.8545454545455
ID1	36832	NR_119068.1	1	Lacrimispora aerotolerans	Lacrimispora aerotolerans	Lacrimispora	Lachnospiraceae	Eubacteriales	Clostridia	Bacillota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.0444247001332741	81.8545454545455
ID1	51515	NR_181963.1	1	Dehalobacterium formicoaceticum	Dehalobacterium formicoaceticum	Dehalobacterium	Peptococcaceae	Eubacteriales	Clostridia	Bacillota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.0444247001332741	81.8545454545455
ID1	84030	NR_026494.1	5	Lacrimispora saccharolytica	Lacrimispora saccharolytica	Lacrimispora	Lachnospiraceae	Eubacteriales	Clostridia	Bacillota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.22212350066637	81.8545454545455
ID1	94138	NR_037046.1	1	Staphylococcus ureilyticus	Staphylococcus ureilyticus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Bacillota	NA	Bacteria	ID1-Sample-1	LFD	21,9	0	0	1,55	15,7	28,3	8,005	106,616	2750	0.0444247001332741	81.8545454545455
